date,datatype,station,value,fl_M,fl_S,elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
2018-01-01T00:00:00,PRCP,GHCND:GME00122878,377.4,,E,9,1951-01-01,2020-02-29,53.8431,"ANKLAM, GM",0.9903,GHCND:GME00122878,METERS,13.6856
2018-01-01T00:00:00,PRCP,GHCND:GME00122890,667.2,,E,443,1931-01-01,2020-02-29,49.7667,"GOSSWEINSTEIN, GM",0.9916,GHCND:GME00122890,METERS,11.3075
2018-01-01T00:00:00,PRCP,GHCND:GME00122902,429.6,,E,167,1947-01-01,2020-02-29,51.5017,"GOTTINGEN, GM",1,GHCND:GME00122902,METERS,9.9528
2018-01-01T00:00:00,PRCP,GHCND:GME00122938,611.6,,E,506,1991-01-01,2020-02-29,49.665,"GRAFENBERG KASBERG, GM",1,GHCND:GME00122938,METERS,11.2253
2018-01-01T00:00:00,PRCP,GHCND:GME00122962,942.2,,E,628,1957-05-01,2020-02-29,48.7903,"GRAINET REHBERG, GM",0.9987,GHCND:GME00122962,METERS,13.6306
2018-01-01T00:00:00,PRCP,GHCND:GME00122974,487.5,,E,27,1951-01-01,2020-02-29,53.5744,"GRAMBEK, GM",0.8638,GHCND:GME00122974,METERS,10.6806
2018-01-01T00:00:00,PRCP,GHCND:GME00123058,465,,E,34,1967-01-01,2020-02-29,54.0731,"GROSS LUSEWITZ, GM",0.9764,GHCND:GME00123058,METERS,12.3256
2018-01-01T00:00:00,PRCP,GHCND:GME00123094,942,,E,517,1959-01-01,2020-02-29,47.9417,"FELDKIRCHEN WESTERHAM LENZMUHL, GM",0.8936,GHCND:GME00123094,METERS,11.9014
2018-01-01T00:00:00,PRCP,GHCND:GME00123130,705.6,,E,258,1941-01-01,2020-02-29,50.2675,"GRUNDAU BREITENBORN, GM",0.4906,GHCND:GME00123130,METERS,9.1889
2018-01-01T00:00:00,PRCP,GHCND:GME00123142,350.6,,E,56,1969-01-01,2020-02-29,53.3167,"GRUNOW, GM",0.9661,GHCND:GME00123142,METERS,13.9358
2018-01-01T00:00:00,PRCP,GHCND:GME00123178,554.6,,E,72,1938-01-01,2020-02-29,51.8889,"GUTERSLOH, GM",0.7819,GHCND:GME00123178,METERS,8.3553
2018-01-01T00:00:00,PRCP,GHCND:GME00123190,522.9,,E,220,1986-04-01,2020-02-29,49.9706,"ARNSTEIN MUDESHEIM, GM",1,GHCND:GME00123190,METERS,9.9125
2018-01-01T00:00:00,PRCP,GHCND:GME00123226,652.9,,E,305,1952-01-01,2020-02-29,49.9325,"OLSDORF, GM",0.9686,GHCND:GME00123226,METERS,6.3756
2018-01-01T00:00:00,PRCP,GHCND:GME00123274,510.1,,E,3,1962-05-01,2020-02-29,53.4792,"HAMBURG NEUWIEDENTHAL, GM",1,GHCND:GME00123274,METERS,9.8983
2018-01-01T00:00:00,PRCP,GHCND:GME00123310,272.6,,E,164,1890-08-01,2020-02-29,51.3756,"ARTERN, GM",0.9717,GHCND:GME00123310,METERS,11.2931
2018-01-01T00:00:00,PRCP,GHCND:GME00123370,443.5,,E,108,1961-01-01,2020-02-29,52.7214,"HANKENSBUTTEL, GM",0.7493,GHCND:GME00123370,METERS,10.6
